iter	RMSE
0	0.3833626431
1	0.3425163684
2	0.3130799722
3	0.293829595
4	0.2790721628
5	0.2686092359
6	0.2599587524
7	0.2542330104
8	0.2498055873
9	0.2459126787
10	0.2432196044
11	0.2411991962
12	0.2392062303
13	0.2373347967
14	0.235881687
15	0.234629604
16	0.2334547244
17	0.232197814
18	0.2313827352
19	0.2305035217
20	0.2295120896
21	0.228941423
22	0.2280732889
23	0.2274592133
24	0.2269289853
25	0.2263958892
26	0.2258945653
27	0.2254772475
28	0.2247934389
29	0.2242098543
30	0.2238103738
31	0.2235802523
32	0.223040679
33	0.2228407529
34	0.2221752222
35	0.2216669897
36	0.2214374689
37	0.2208154886
38	0.2203426664
39	0.2199800511
40	0.2198212498
41	0.2193968056
42	0.2191491172
43	0.2191476641
44	0.2187250834
45	0.2184634476
46	0.2182622974
47	0.2177634978
48	0.2174244548
49	0.2172407562
50	0.2168858145
51	0.2164517175
52	0.2160738418
53	0.2159267993
54	0.21557905
55	0.215124265
56	0.2149817172
57	0.2145513912
58	0.2141991345
59	0.214079586
60	0.2139923688
61	0.2139895582
62	0.213762351
63	0.2132693039
64	0.2129468433
65	0.2126226851
66	0.2123901049
67	0.2122255399
68	0.2120943684
69	0.2120380627
70	0.2116744816
71	0.2114012088
72	0.2113955698
73	0.2113928423
74	0.2113868552
75	0.2113009537
76	0.2110293937
77	0.2110271266
78	0.2107923769
79	0.2106206217
80	0.2104920709
81	0.2101994215
82	0.2099279449
83	0.209885182
84	0.2096621019
85	0.2094324684
86	0.2093669392
87	0.2091627108
88	0.2087371582
89	0.2083467314
90	0.2081665594
91	0.2079676316
92	0.2078551349
93	0.2078501847
94	0.2078495795
95	0.2076211372
96	0.207354481
97	0.2073290273
98	0.2069498098
99	0.2068120887
100	0.2066429686
101	0.2063583249
102	0.2060379743
103	0.2058620196
104	0.2058537055
105	0.2056138445
106	0.205403431
107	0.2052856906
108	0.2051964366
109	0.2051544102
110	0.2048566834
111	0.2046821602
112	0.2046802284
113	0.2043132371
114	0.2041319228
115	0.2037824116
116	0.2036013353
117	0.203455465
118	0.2032497169
119	0.2029613955
120	0.2027236808
121	0.2024674069
122	0.2020460635
123	0.2019892043
124	0.2018381522
125	0.2015746112
126	0.2014158219
127	0.2011169892
128	0.2008602536
129	0.2005519525
130	0.2003159363
131	0.2001099383
132	0.1999688021
133	0.1999516155
134	0.1997285978
135	0.1995461585
136	0.1995355799
137	0.1991528742
138	0.1989237108
139	0.1985985318
140	0.1984132591
141	0.1982646459
142	0.1981269173
143	0.1980049709
144	0.1978245568
145	0.1977288599
146	0.1975452474
147	0.1971235087
148	0.1969021508
149	0.1966813099
150	0.196520002
151	0.1963916991
152	0.1961928662
153	0.1959254835
154	0.1959178215
155	0.1959161336
156	0.1958022709
157	0.1956396813
158	0.195353586
159	0.1953502996
160	0.1953181246
161	0.1952190476
162	0.1949822574
163	0.194881976
164	0.1945735145
165	0.1943867974
166	0.1942509247
167	0.1941006647
168	0.1939534911
169	0.1938228486
170	0.1936346163
171	0.193444592
172	0.1931351621
173	0.1930103342
174	0.192681587
175	0.1925398422
176	0.1923906526
177	0.1921176746
178	0.1919975942
179	0.1918299555
180	0.1916047136
181	0.1914064935
182	0.1911556912
