iter	Passed	Remaining
0	140	253336
1	291	261826
2	449	269282
3	604	271420
4	752	270026
5	921	275668
6	1098	281444
7	1265	283415
8	1424	283553
9	1570	281101
10	1714	278854
11	1861	277335
12	2009	276222
13	2167	276476
14	2304	274234
15	2443	272411
16	2587	271432
17	2730	270358
18	2883	270332
19	3022	269036
20	3172	268742
21	3310	267585
22	3455	266998
23	3603	266668
24	3746	266013
25	3896	265869
26	4039	265252
27	4178	264456
28	4317	263665
29	4460	263141
30	4607	262939
31	4759	262975
32	4903	262546
33	5042	261936
34	5180	261266
35	5325	260939
36	5471	260697
37	5606	259950
38	5754	259830
39	5891	259225
40	6028	258644
41	6177	258554
42	6323	258387
43	6344	253196
44	6486	252992
45	6629	252779
46	6768	252443
47	6922	252661
48	7065	252470
49	7218	252658
50	7363	252518
51	7508	252389
52	7658	252442
53	7802	252271
54	7947	252149
55	8087	251866
56	8226	251558
57	8383	251783
58	8538	251967
59	8681	251760
60	8825	251605
61	8930	250330
62	9071	250119
63	9209	249802
64	9363	249944
65	9503	249672
66	9644	249472
67	9788	249308
68	9939	249361
69	10081	249163
70	10235	249259
71	10374	248991
72	10521	248905
73	10633	248012
74	10680	245654
75	10826	245586
76	10974	245576
77	11124	245598
78	11261	245325
79	11402	245160
80	11540	244921
81	11687	244868
82	11839	244913
83	11982	244778
84	12124	244630
85	12272	244594
86	12369	243558
87	12513	243445
88	12670	243583
89	12817	243528
90	12956	243321
91	13098	243177
92	13275	243664
93	13414	243462
94	13477	241879
95	13623	241816
96	13772	241799
97	13838	240344
98	13983	240258
99	14135	240308
100	14279	240208
101	14427	240170
102	14586	240315
103	14727	240167
104	14873	240098
105	15018	240010
106	15158	239836
107	15302	239737
108	15456	239781
109	15593	239572
110	15735	239429
111	15891	239503
112	16028	239294
113	16167	239110
114	16313	239032
115	16457	238922
116	16595	238719
117	16735	238558
118	16881	238467
119	17027	238387
120	17184	238452
121	17328	238342
122	17473	238231
123	17610	238027
124	17760	237986
125	17913	237993
126	18064	237965
127	18210	237876
128	18353	237736
129	18496	237613
130	18642	237512
131	18787	237403
132	18931	237283
133	19074	237150
134	19228	237153
135	19367	236963
136	19501	236722
137	19648	236638
138	19792	236518
139	19944	236481
140	20105	236558
141	20258	236540
142	20397	236353
143	20547	236299
144	20687	236126
145	20830	235986
146	20973	235843
147	21123	235787
148	21268	235663
149	21413	235546
150	21572	235581
151	21739	235699
152	21890	235642
153	22044	235621
154	22191	235519
155	22286	234861
156	22454	234986
157	22622	235106
158	22764	234947
159	22901	234738
160	22982	233965
161	23128	233856
162	23284	233842
163	23431	233744
164	23567	233528
165	23707	233364
166	23859	233306
167	24011	233253
168	24167	233240
169	24323	233219
170	24478	233187
171	24631	233140
172	24783	233080
173	24926	232934
174	25081	232901
175	25218	232701
176	25354	232491
177	25500	232365
178	25647	232257
179	25791	232127
180	25961	232219
181	26106	232088
182	26261	232051
183	26414	231988
184	26557	231836
185	26696	231660
186	26862	231707
187	27044	231895
188	27190	231770
189	27347	231737
190	27454	231277
191	27597	231132
192	27741	230991
193	27897	230942
194	28050	230873
195	28180	230620
196	28322	230465
197	28474	230383
198	28638	230399
199	28771	230174
200	28918	230054
201	29060	229892
202	29205	229757
203	29354	229659
204	29514	229640
205	29664	229538
206	29812	229426
207	29956	229285
208	30100	229135
209	30250	229042
210	30406	228986
211	30548	228827
212	30704	228769
213	30850	228636
214	30993	228489
215	31135	228327
216	31278	228175
217	31431	228097
218	31580	227988
219	31719	227803
220	31872	227725
221	32024	227632
222	32166	227475
223	32317	227375
224	32464	227249
225	32616	227161
226	32762	227026
227	32905	226875
228	33041	226675
229	33184	226523
230	33329	226380
231	33484	226306
232	33626	226146
233	33762	225950
234	33908	225816
235	34064	225748
236	34207	225598
237	34357	225488
238	34497	225313
239	34647	225211
240	34787	225033
241	34929	224876
242	35075	224744
243	35231	224675
244	35377	224538
245	35523	224403
246	35669	224271
247	35820	224168
248	35955	223964
249	36106	223857
250	36248	223697
251	36387	223525
252	36538	223421
253	36684	223282
254	36838	223197
255	36980	223039
256	37135	222954
257	37276	222793
258	37450	222823
259	37596	222689
260	37744	222559
261	37892	222435
262	38034	222278
263	38179	222134
264	38328	222016
265	38481	221920
266	38619	221739
267	38773	221645
268	38915	221487
269	39060	221341
270	39207	221213
271	39351	221061
272	39497	220923
273	39652	220836
274	39792	220666
275	39937	220522
276	40088	220412
277	40235	220282
278	40373	220099
279	40516	219947
280	40662	219807
281	40812	219690
282	40956	219543
283	41050	219128
284	41192	218973
285	41331	218795
286	41485	218699
287	41614	218478
288	41769	218386
289	41908	218215
290	42047	218041
291	42194	217907
292	42340	217771
293	42502	217717
294	42647	217576
295	42790	217420
296	42944	217323
297	43081	217140
298	43224	216989
299	43366	216832
300	43507	216671
301	43649	216514
302	43795	216376
303	43931	216187
304	44058	215958
305	44221	215905
306	44362	215742
307	44519	215658
308	44679	215590
309	44826	215455
310	44989	215401
311	45143	215300
312	45292	215174
313	45438	215035
314	45589	214923
315	45752	214864
316	45895	214710
317	46039	214559
318	46190	214444
319	46328	214267
320	46485	214181
321	46633	214049
322	46797	213991
323	46963	213943
324	47138	213935
325	47312	213921
326	47451	213749
327	47597	213606
328	47748	213490
329	47912	213427
330	48057	213282
331	48197	213114
332	48340	212960
333	48488	212826
334	48639	212708
335	48778	212534
336	48927	212407
337	49087	212324
338	49227	212155
339	49382	212054
340	49534	211939
341	49678	211787
342	49831	211675
343	49975	211526
344	50115	211355
345	50261	211215
346	50406	211066
347	50546	210900
348	50702	210800
349	50843	210638
350	50989	210495
351	51146	210399
352	51286	210230
353	51452	210169
354	51595	210016
355	51741	209874
356	51894	209759
357	52045	209634
358	52183	209462
359	52328	209312
360	52472	209164
361	52619	209025
362	52805	209040
363	52957	208919
364	53102	208773
365	53255	208658
366	53399	208506
367	53550	208380
368	53699	208249
369	53840	208084
370	53987	207944
371	54131	207793
372	54272	207630
373	54420	207494
374	54561	207334
375	54713	207213
376	54851	207038
377	54999	206903
378	55141	206743
379	55285	206593
380	55429	206443
381	55585	206336
382	55733	206198
383	55880	206060
384	56029	205926
385	56169	205760
386	56305	205579
387	56460	205468
388	56615	205357
389	56769	205242
390	56917	205108
391	57080	205022
392	57234	204909
393	57396	204822
394	57569	204773
395	57739	204711
396	57899	204618
397	58060	204522
398	58220	204429
399	58389	204363
400	58534	204212
401	58679	204065
402	58820	203901
403	58981	203806
404	59117	203625
405	59259	203467
406	59417	203363
407	59563	203216
408	59713	203084
409	59855	202924
410	60007	202798
411	60148	202634
412	60285	202458
413	60418	202271
414	60565	202128
415	60708	201973
416	60859	201842
417	61003	201690
418	61157	201572
419	61296	201401
420	61433	201228
421	61583	201095
422	61732	200959
423	61878	200813
424	62030	200688
425	62181	200558
426	62337	200443
427	62484	200302
428	62627	200144
429	62779	200019
430	62924	199870
431	63062	199698
432	63221	199593
433	63364	199438
434	63525	199338
435	63680	199221
436	63836	199106
437	63993	198993
438	64136	198839
439	64277	198676
440	64430	198552
441	64572	198393
442	64718	198245
443	64864	198099
444	65011	197955
445	65169	197844
446	65325	197728
447	65467	197572
448	65610	197415
449	65791	197375
450	65939	197234
451	66091	197103
452	66251	196999
453	66398	196856
454	66548	196719
455	66691	196563
456	66835	196411
457	66994	196302
458	67138	196149
459	67298	196044
460	67443	195894
461	67597	195769
462	67739	195610
463	67883	195456
464	68030	195312
465	68185	195190
466	68330	195040
467	68470	194877
468	68614	194725
469	68794	194673
470	68939	194523
471	69083	194369
472	69231	194228
473	69389	194115
474	69537	193972
475	69693	193853
476	69839	193704
477	69985	193557
478	70128	193401
479	70278	193266
480	70436	193150
481	70599	193051
482	70747	192906
483	70891	192754
484	71039	192613
485	71186	192466
486	71343	192349
487	71504	192242
488	71651	192096
489	71799	191952
490	71945	191805
491	72094	191665
492	72243	191526
493	72381	191356
494	72513	191170
495	72658	191022
496	72805	190877
497	72959	190750
498	73107	190607
499	73264	190487
500	73412	190344
501	73570	190227
502	73723	190099
503	73872	189957
504	74023	189821
505	74180	189703
506	74323	189547
507	74488	189448
508	74631	189291
509	74781	189152
510	74949	189061
511	75097	188916
512	75241	188764
513	75386	188612
514	75539	188481
515	75697	188362
516	75848	188228
517	75983	188052
518	76121	187884
519	76275	187754
520	76423	187611
521	76564	187451
522	76705	187289
523	76859	187162
524	77002	187005
525	77147	186854
526	77297	186717
527	77457	186601
528	77619	186493
529	77762	186337
530	77903	186175
531	78058	186049
532	78211	185917
533	78355	185764
534	78517	185653
535	78655	185486
536	78799	185332
537	78951	185197
538	79093	185040
539	79241	184897
540	79385	184744
541	79537	184609
542	79688	184472
543	79833	184321
544	79991	184200
545	80134	184044
546	80316	183978
547	80454	183812
548	80608	183682
549	80767	183562
550	80918	183425
551	81059	183264
552	81209	183126
553	81367	183003
554	81512	182853
555	81655	182697
556	81803	182552
557	81960	182427
558	82109	182285
559	82249	182124
560	82396	181977
561	82541	181826
562	82686	181675
563	82838	181540
564	82990	181403
565	83132	181247
566	83283	181108
567	83427	180954
568	83575	180812
569	83729	180679
570	83866	180511
571	84012	180362
572	84157	180211
573	84300	180056
574	84448	179912
575	84586	179747
576	84734	179602
577	84875	179442
578	85032	179318
579	85185	179182
580	85325	179022
581	85485	178902
582	85632	178757
583	85786	178623
584	85935	178480
585	86086	178343
586	86235	178200
587	86400	178090
588	86558	177966
589	86707	177823
590	86861	177691
591	87000	177527
592	87172	177431
593	87331	177309
594	87477	177161
595	87634	177033
596	87780	176884
597	87937	176757
598	88088	176617
599	88238	176477
600	88386	176331
601	88535	176189
602	88685	176046
603	88844	175924
604	88985	175764
605	89130	175613
606	89281	175475
607	89442	175353
608	89613	175254
609	89760	175107
610	89924	174992
611	90074	174849
612	90220	174701
613	90379	174576
614	90535	174446
615	90684	174303
616	90829	174151
617	90978	174008
618	91138	173883
619	91290	173746
620	91439	173603
621	91581	173445
622	91727	173296
623	91881	173160
624	92025	173007
625	92172	172861
626	92324	172721
627	92482	172594
628	92622	172433
629	92769	172286
630	92918	172143
631	93065	171995
632	93209	171842
633	93368	171715
634	93512	171562
635	93656	171409
636	93808	171270
637	93967	171145
638	94122	171011
639	94260	170847
640	94409	170703
641	94560	170563
642	94718	170433
643	94856	170271
644	95001	170118
645	95156	169985
646	95288	169810
647	95441	169672
648	95587	169524
649	95734	169375
650	95883	169231
651	96042	169105
652	96192	168963
653	96338	168813
654	96480	168656
655	96628	168510
656	96787	168384
657	96937	168240
658	97084	168093
659	97241	167963
660	97418	167865
661	97557	167704
662	97695	167541
663	97850	167407
664	97991	167248
665	98129	167085
666	98274	166933
667	98429	166800
668	98569	166639
669	98717	166493
670	98856	166331
671	98998	166176
672	99150	166037
673	99310	165909
674	99455	165758
675	99598	165604
676	99750	165464
677	99889	165303
678	100034	165152
679	100181	165004
680	100340	164876
681	100497	164744
682	100639	164588
683	100785	164439
684	100932	164290
685	101077	164139
686	101224	163993
687	101381	163860
688	101524	163706
689	101666	163550
690	101823	163418
691	101977	163282
692	102125	163136
693	102268	162981
694	102407	162821
695	102554	162672
696	102706	162532
697	102857	162391
698	103016	162261
699	103160	162109
700	103300	161950
701	103448	161804
702	103605	161672
703	103749	161519
704	103898	161374
705	104044	161224
706	104190	161075
707	104351	160949
708	104525	160843
709	104671	160693
710	104821	160549
711	104964	160395
712	105112	160248
713	105270	160118
714	105439	160002
715	105590	159860
716	105741	159717
717	105906	159597
718	106069	159473
719	106213	159320
720	106362	159174
721	106530	159057
722	106681	158915
723	106824	158761
724	106970	158611
725	107126	158476
726	107266	158317
727	107409	158163
728	107566	158029
729	107709	157875
730	107862	157736
731	108008	157586
732	108156	157439
733	108317	157311
734	108463	157161
735	108614	157018
736	108770	156883
737	108916	156733
738	109059	156579
739	109196	156416
740	109353	156282
741	109496	156129
742	109653	155994
743	109796	155840
744	109943	155691
745	110098	155554
746	110248	155411
747	110421	155298
748	110575	155159
749	110729	155021
750	110884	154883
751	111037	154743
752	111177	154585
753	111327	154441
754	111503	154332
755	111660	154197
756	111816	154062
757	111964	153914
758	112109	153763
759	112260	153619
760	112429	153500
761	112606	153392
762	112767	153263
763	112933	153140
764	113080	152991
765	113227	152841
766	113371	152688
767	113510	152529
768	113673	152402
769	113811	152241
770	113949	152080
771	114092	151926
772	114235	151771
773	114380	151620
774	114539	151487
775	114680	151330
776	114818	151169
777	114954	151007
778	115095	150850
779	115252	150715
780	115400	150567
781	115543	150413
782	115678	150248
783	115815	150086
784	115956	149930
785	116093	149769
786	116243	149624
787	116385	149469
788	116529	149317
789	116671	149162
790	116811	149004
791	116944	148838
792	117091	148689
793	117244	148548
794	117387	148395
795	117526	148236
796	117664	148077
797	117814	147932
798	117954	147774
799	118092	147615
800	118240	147468
801	118378	147308
802	118520	147154
803	118660	146996
804	118807	146849
805	118947	146692
806	119088	146536
807	119226	146377
808	119370	146225
809	119542	146108
810	119685	145954
811	119835	145809
812	119975	145652
813	120122	145505
814	120259	145343
815	120394	145181
816	120544	145037
817	120683	144878
818	120818	144716
819	120956	144557
820	121105	144412
821	121243	144253
822	121388	144102
823	121529	143948
824	121669	143791
825	121814	143641
826	121972	143505
827	122123	143362
828	122268	143211
829	122413	143061
830	122555	142908
831	122699	142755
832	122843	142604
833	122984	142449
834	123132	142303
835	123282	142157
836	123434	142015
837	123571	141856
838	123709	141698
839	123876	141573
840	124023	141425
841	124170	141277
842	124306	141116
843	124446	140960
844	124584	140802
845	124725	140648
846	124878	140506
847	125026	140359
848	125158	140195
849	125301	140042
850	125442	139888
851	125591	139742
852	125726	139580
853	125864	139423
854	125996	139259
855	126141	139109
856	126286	138959
857	126444	138823
858	126581	138665
859	126719	138507
860	126864	138357
861	127016	138214
862	127155	138058
863	127312	137921
864	127450	137764
865	127592	137611
866	127745	137469
867	127870	137298
868	127997	137130
869	128144	136982
870	128281	136823
871	128425	136672
872	128581	136534
873	128722	136380
874	128881	136246
875	129026	136096
876	129166	135941
877	129308	135789
878	129445	135630
879	129601	135492
880	129734	135330
881	129874	135175
882	130017	135023
883	130156	134868
884	130295	134711
885	130447	134570
886	130589	134417
887	130732	134265
888	130878	134116
889	131016	133960
890	131153	133802
891	131310	133665
892	131459	133520
893	131611	133377
894	131754	133226
895	131892	133070
896	132034	132918
897	132184	132773
898	132320	132614
899	132465	132465
900	132608	132313
901	132761	132172
902	132905	132022
903	133061	131884
904	133204	131732
905	133350	131584
906	133510	131450
907	133660	131305
908	133801	131151
909	133943	130999
910	134092	130854
911	134238	130706
912	134373	130546
913	134513	130392
914	134654	130239
915	134791	130083
916	134933	129930
917	135069	129772
918	135209	129618
919	135359	129474
920	135508	129328
921	135656	129182
922	135795	129027
923	135938	128876
924	136081	128726
925	136232	128582
926	136385	128440
927	136538	128299
928	136677	128144
929	136812	127986
930	136954	127833
931	137098	127684
932	137241	127533
933	137388	127385
934	137536	127239
935	137684	127093
936	137821	126936
937	137963	126784
938	138105	126633
939	138246	126481
940	138388	126329
941	138542	126188
942	138687	126039
943	138829	125887
944	138970	125734
945	139119	125590
946	139257	125434
947	139400	125284
948	139551	125140
949	139697	124992
950	139841	124842
951	139979	124687
952	140129	124542
953	140270	124390
954	140416	124242
955	140569	124101
956	140707	123946
957	140845	123791
958	140986	123638
959	141133	123491
